arm,replicate,run_name,z_min,z_max,n_gaussians,fraction_of_all,opacity_p50,ckpt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,608.0000,610.0000,4741,0.00874393,0.2163,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,610.0000,612.0000,2544,0.00469195,0.9355,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,612.0000,614.0000,1788,0.00329765,0.9863,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,614.0000,616.0000,907,0.00167280,0.9875,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,616.0000,618.0000,547,0.00100884,0.9894,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,618.0000,620.0000,528,0.00097380,0.9871,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,620.0000,622.0000,514,0.00094798,0.8608,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,622.0000,624.0000,408,0.00075248,0.4607,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,624.0000,626.0000,326,0.00060125,0.6770,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,626.0000,628.0000,384,0.00070822,0.6711,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,628.0000,630.0000,384,0.00070822,0.7138,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,630.0000,632.0000,317,0.00058465,0.5964,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,632.0000,634.0000,178,0.00032829,0.9577,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,634.0000,636.0000,75,0.00013832,0.4045,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,636.0000,638.0000,90,0.00016599,0.1815,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
