basename,archive_member,uncompressed_bytes,compressed_bytes,crc32_hex,sha256
DJI_20241217084641_0124_D.JPG,Images/DJI_20241217084641_0124_D.JPG,7196672,7140454,ae7fdb62,83cff4277b51b57da9193a40dc35f31511c839a2a3e98132066e57e10fba196d
DJI_20241217084643_0125_D.JPG,Images/DJI_20241217084643_0125_D.JPG,7143424,7087646,5930982c,f7a404da4ad7b2a147fb1e027382f80fc8d093fcd63f1a576f2233961c40f0c0
DJI_20241217084645_0126_D.JPG,Images/DJI_20241217084645_0126_D.JPG,6905856,6851708,7e4464a2,b0e8ac104945eccbcda1a1e2b50ff582ea349e81f0d4ba184e923865c8ff6226
DJI_20241217084647_0127_D.JPG,Images/DJI_20241217084647_0127_D.JPG,6635520,6581571,53ca968f,b32b2f9851018345c69502a95232509b0444eeb5d571d82979311668af1fd217
DJI_20241217084649_0128_D.JPG,Images/DJI_20241217084649_0128_D.JPG,6459392,6406204,acb2c86b,79b31e515276b5d13405e057b6d6d0a346cfa031945b5ad385ebc6c9e310090f
DJI_20241217084651_0129_D.JPG,Images/DJI_20241217084651_0129_D.JPG,6086656,6034071,fbe8c624,b580f15af7bda3d98dfb38d16c287a018e33b61ad685b36ef67246bd5b026d70
DJI_20241217084653_0130_D.JPG,Images/DJI_20241217084653_0130_D.JPG,6164480,6112121,3e16f66e,b9c791b57ae8ae9ede837985a809e26dcf94a23ef21713d0e4a24af693d5152b
DJI_20241217084655_0131_D.JPG,Images/DJI_20241217084655_0131_D.JPG,6262784,6210314,8a8147d2,038d0e82536a18dbcedb697a1ee9c20f207bae86fb2bdfb6c45f48b51bc60cb9
DJI_20241217084657_0132_D.JPG,Images/DJI_20241217084657_0132_D.JPG,6139904,6086470,68534b8d,b719bb44f638f963fba56cfcdf1da9a470b3856ebfa71918f76114c1df294941
DJI_20241217084659_0133_D.JPG,Images/DJI_20241217084659_0133_D.JPG,6062080,6007822,46df66a3,bc905e67078668df89f0333e7e5b398add5352214e80658d83d3f4ef66d823d2
DJI_20241217084701_0134_D.JPG,Images/DJI_20241217084701_0134_D.JPG,5980160,5925605,408ff9f7,6a53beeb89c2eb8a2bddf30dcdb198dcbde04e0f1088e96e46513eca64a7aa53
DJI_20241217084703_0135_D.JPG,Images/DJI_20241217084703_0135_D.JPG,6066176,6010230,0d35b677,6de4a3d317463d68d1eac2133605f0a37c812b6bbcb510a350c5ac9007379f51
DJI_20241217084705_0136_D.JPG,Images/DJI_20241217084705_0136_D.JPG,6004736,5948751,040a610f,8e7626212b3e39623ae3989502285fe078fd84cfc518832f65ff7b01d85d8384
