arm,replicate,building_id,raw_source,gs_source,raw_density_pts_m2,gs_density_pts_m2,delta_density_gs_minus_raw,raw_coverage_frac,gs_coverage_frac,delta_coverage_gs_minus_raw,raw_ref_dist_rms_m,gs_ref_dist_rms_m,noise_gain_raw_minus_gs_m,raw_normal_structure,gs_normal_structure,delta_normal_modes_gs_minus_raw,raw_has_lod22,gs_has_lod22,raw_shell_bucket,gs_shell_bucket,gs_vs_raw_observation
acmp,r1,DEBY_LOD2_4907202,raw_acmp,gs_acmp_r1,37.2245,4.7738,-32.4507,0.4743,0.0406,-0.4337,3.5007,44.0604,-40.5597,multi_slope,single_slope,-3.0000,true,true,조립,무효·붕괴,worsened_more_axes
acmp,r1,DEBY_LOD2_4908168,raw_acmp,gs_acmp_r1,48.3154,83.9709,35.6555,0.5351,0.3070,-0.2281,2.5453,0.4397,2.1056,single_slope,weak_structure,0.0000,true,true,조립,조립,improved_more_axes
acmp,r1,DEBY_LOD2_4908178,raw_acmp,gs_acmp_r1,0.8553,8.7469,7.8916,0.0683,0.1101,0.0418,15.2782,33.2268,-17.9486,multi_slope,single_slope,-1.0000,false,false,미조립,미조립,improved_more_axes
acmp,r1,DEBY_LOD2_4908179,raw_acmp,gs_acmp_r1,0.1099,0.4482,0.3383,0.0232,0.0084,-0.0148,30.3079,40.5578,-10.2499,too_few_points,single_slope,1.0000,false,false,미조립,미조립,worsened_more_axes
acmp,r1,DEBY_LOD2_60098,raw_acmp,gs_acmp_r1,37.7133,1.6741,-36.0392,0.8393,0.0574,-0.7819,2.7469,6.3290,-3.5821,multi_slope,multi_slope,2.0000,true,true,무효·붕괴,조립,worsened_more_axes
acmp,r1,DEBY_LOD2_8568391,raw_acmp,gs_acmp_r1,0.3421,0.2881,-0.0540,0.0452,0.0090,-0.0362,45.2492,45.3884,-0.1392,single_slope,weak_structure,0.0000,false,false,미조립,미조립,worsened_more_axes
acmp,r1,DEBY_LOD2_8568392,raw_acmp,gs_acmp_r1,0.1725,0.0000,-0.1725,0.0417,0.0000,-0.0417,1.3830,,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,worsened_more_axes
acmp,r2,DEBY_LOD2_108247349,raw_acmp,gs_acmp_r2,0.0495,0.0000,-0.0495,0.0100,0.0000,-0.0100,32.8368,,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,worsened_more_axes
acmp,r2,DEBY_LOD2_108247350,raw_acmp,gs_acmp_r2,9.3927,1.1535,-8.2392,0.7917,0.0417,-0.7500,18.5890,16.1208,2.4682,multi_slope,weak_structure,-4.0000,true,false,조립,미조립,worsened_more_axes
acmp,r2,DEBY_LOD2_108247351,raw_acmp,gs_acmp_r2,4.0748,0.7966,-3.2782,0.3308,0.0346,-0.2962,16.1999,13.0153,3.1846,multi_slope,multi_slope,-3.0000,true,false,조립,미조립,worsened_more_axes
