building_id,source_run,source_group,roof_planes,ref_roof_planes,model_normal_mode_count,ref_normal_mode_count,model_tilt_p50_deg,model_tilt_p90_deg,model_z_p10_p90_span_m,shape_class,has_lod22,shell_bucket,completeness,correctness,ref_rms_m,shape_note
DEBY_LOD2_4908179,gs_acmp_r1,gs_acmp,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_60098,gs_acmp_r1,gs_acmp,1,2,0,2,0.0000,0.0000,0.0000,flat_or_single_plane,true,조립,0.0000,0.0000,15.2898,flat_relative_to_reference
DEBY_LOD2_8568391,gs_acmp_r1,gs_acmp,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_8568392,gs_acmp_r1,gs_acmp,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_108247349,gs_acmp_r2,gs_acmp,0,1,0,1,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_108247350,gs_acmp_r2,gs_acmp,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_108247351,gs_acmp_r2,gs_acmp,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907184,gs_acmp_r2,gs_acmp,11,4,4,4,16.9699,34.6450,3.7780,multi_plane,true,조립,1.0000,0.3636,1.2569,observed
DEBY_LOD2_4907185,gs_acmp_r2,gs_acmp,2,2,2,2,10.1643,10.9180,1.8318,multi_plane,true,조립,1.0000,1.0000,3.2208,observed
DEBY_LOD2_4907186,gs_acmp_r2,gs_acmp,1,2,1,2,44.0966,44.0966,10.0543,flat_or_single_plane,true,조립,0.5000,1.0000,6.8537,flat_relative_to_reference
DEBY_LOD2_4907188,gs_acmp_r2,gs_acmp,1,2,1,2,65.3214,65.3214,23.3854,flat_or_single_plane,true,무효·붕괴,0.0000,0.0000,13.1630,invalid_or_collapse
DEBY_LOD2_4907194,gs_acmp_r2,gs_acmp,1,2,1,2,71.9424,71.9424,30.7910,flat_or_single_plane,true,무효·붕괴,0.0000,0.0000,20.2574,invalid_or_collapse
DEBY_LOD2_4907195,gs_acmp_r2,gs_acmp,1,2,1,2,49.1854,49.1854,11.9627,flat_or_single_plane,true,조립,0.0000,0.0000,8.3211,flat_relative_to_reference
DEBY_LOD2_4907198,gs_acmp_r2,gs_acmp,1,4,0,3,1.7184,1.7184,0.5303,flat_or_single_plane,true,조립,0.2500,1.0000,1.2824,flat_relative_to_reference
DEBY_LOD2_4907199,gs_acmp_r2,gs_acmp,1,1,1,0,71.3371,71.3371,30.2810,flat_or_single_plane,true,무효·붕괴,0.0000,0.0000,14.1861,invalid_or_collapse
DEBY_LOD2_4907202,gs_acmp_r2,gs_acmp,2,2,0,1,0.3306,0.5950,0.0714,multi_plane,true,조립,0.5000,0.5000,1.3242,observed
DEBY_LOD2_4908168,gs_acmp_r2,gs_acmp,0,1,0,1,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_4908178,gs_acmp_r2,gs_acmp,2,2,0,2,0.8227,0.8976,0.1337,multi_plane,true,무효·붕괴,1.0000,1.0000,2.6835,invalid_or_collapse
DEBY_LOD2_4908179,gs_acmp_r2,gs_acmp,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
