building_id,source_run,source_group,display_label,pair_raw,seed,replicate,footprint_area_m2,roof_point_count,density_pts_m2,coverage_frac,grid_occupied_cells,grid_total_cells,ref_lookup_miss_frac,ref_abs_dist_p50_m,ref_abs_dist_p90_m,ref_dist_rms_m,z_p10_p90_span_m,z_shift_to_reference_m,crs,normal_count,tilt_p50_deg,tilt_p90_deg,normal_mode_count,normal_structure
DEBY_LOD2_60098,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,195.9254,316,1.6129,0.0281,22,784,0.0000,2.3752,3.4975,2.6622,2.7000,-45.7000,EPSG:25832,316,70.208,83.207,2,multi_slope
DEBY_LOD2_8568391,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,55.5357,109,1.9627,0.0769,17,221,0.0000,9.9430,35.9570,15.8962,45.9000,-45.7000,EPSG:25832,109,0.000,77.411,0,weak_structure
DEBY_LOD2_8568392,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,5.7975,0,0.0000,0.0000,0,24,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_108247349,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,101.1027,0,0.0000,0.0000,0,402,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_108247350,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,12.1371,53,4.3668,0.1042,5,48,0.0000,15.4850,15.6850,15.4201,0.6500,-45.7000,EPSG:25832,53,57.869,75.185,2,weak_structure
DEBY_LOD2_108247351,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,65.2785,199,3.0485,0.0731,19,260,0.0000,13.6730,13.9330,12.7016,4.6700,-45.7000,EPSG:25832,199,72.657,80.004,3,multi_slope
DEBY_LOD2_4907184,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,337.8636,384052,1136.7074,1.0000,1352,1352,0.0000,0.5613,1.5261,2.4516,4.3000,-45.7000,EPSG:25832,700,38.494,87.970,4,multi_slope
DEBY_LOD2_4907185,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,160.9815,4366,27.1211,0.2655,171,644,0.0000,3.8064,5.3689,4.5984,1.7000,-45.7000,EPSG:25832,700,6.039,88.036,5,multi_slope
DEBY_LOD2_4907186,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,167.8323,397,2.3655,0.0297,20,673,0.0000,3.2329,4.8557,3.2860,1.1700,-45.7000,EPSG:25832,397,74.103,80.307,1,single_slope
DEBY_LOD2_4907188,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,165.8832,29,0.1748,0.0075,5,664,0.0000,1.5203,2.0251,1.6043,0.4100,-45.7000,EPSG:25832,29,64.360,70.574,1,weak_structure
DEBY_LOD2_4907194,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,212.7291,113,0.5312,0.0141,12,850,0.0000,1.1792,1.5025,1.2228,1.9000,-45.7000,EPSG:25832,113,73.865,83.279,2,multi_slope
DEBY_LOD2_4907195,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,177.8385,1157,6.5059,0.1183,84,710,0.0000,0.3659,0.9252,0.5629,2.3000,-45.7000,EPSG:25832,700,74.242,87.751,2,multi_slope
DEBY_LOD2_4907198,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,359.7993,3207,8.9133,0.1203,173,1438,0.0000,1.3664,3.7416,2.1871,4.4000,-45.7000,EPSG:25832,700,64.384,88.816,2,multi_slope
DEBY_LOD2_4907199,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,98.3464,718,7.3007,0.1043,41,393,0.0000,5.3080,6.2580,5.2574,2.6000,-45.7000,EPSG:25832,700,76.163,77.042,1,single_slope
DEBY_LOD2_4907202,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,160.4587,6974,43.4629,0.4072,261,641,0.0000,0.5919,2.1670,1.1332,0.5500,-45.7000,EPSG:25832,700,0.000,18.386,2,weak_structure
DEBY_LOD2_4908168,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,28.8314,0,0.0000,0.0000,0,114,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_4908178,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,113.4123,2360,20.8090,0.2665,121,454,0.0000,2.6263,3.0539,4.8542,0.1500,-45.7000,EPSG:25832,700,0.000,88.658,4,weak_structure
DEBY_LOD2_4908179,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,118.2496,0,0.0000,0.0000,0,474,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_60098,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,195.9254,399,2.0365,0.0421,33,784,0.0000,0.8840,2.5944,1.3258,1.5500,-45.7000,EPSG:25832,399,68.023,87.799,2,multi_slope
DEBY_LOD2_8568391,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,55.5357,0,0.0000,0.0000,0,221,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_8568392,gs_sparse_r2,gs_sparse,GS sparse r2,raw_sparse,sparse,r2,5.7975,0,0.0000,0.0000,0,24,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_108247349,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,101.1027,6,0.0593,0.0025,1,402,0.0000,2.4222,2.5259,2.4409,0.1500,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_108247350,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,12.1371,0,0.0000,0.0000,0,48,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_108247351,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,65.2785,79,1.2102,0.0308,8,260,0.0000,13.9230,14.1730,13.4898,1.9700,-45.7000,EPSG:25832,79,60.264,83.797,4,multi_slope
DEBY_LOD2_4907184,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,337.8636,409741,1212.7410,0.9993,1351,1352,0.0000,0.4757,1.5559,3.5658,4.4500,-45.7000,EPSG:25832,700,44.956,89.493,4,multi_slope
DEBY_LOD2_4907185,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,160.9815,3437,21.3503,0.2609,168,644,0.0000,2.9531,4.8450,3.2756,2.8200,-45.7000,EPSG:25832,700,21.562,78.609,5,multi_slope
DEBY_LOD2_4907186,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,167.8323,455,2.7110,0.0282,19,673,0.0000,3.1556,4.8275,3.2043,3.2000,-45.7000,EPSG:25832,455,75.680,88.702,1,single_slope
DEBY_LOD2_4907188,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,165.8832,294,1.7723,0.0422,28,664,0.0000,2.1006,3.0823,2.2426,3.5500,-45.7000,EPSG:25832,294,79.558,88.450,2,multi_slope
DEBY_LOD2_4907194,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,212.7291,33,0.1551,0.0047,4,850,0.0000,0.8493,1.4358,0.9409,0.7500,-45.7000,EPSG:25832,33,55.114,63.594,2,weak_structure
DEBY_LOD2_4907195,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,177.8385,1003,5.6399,0.0817,58,710,0.0000,0.4684,1.6393,0.8855,2.6000,-45.7000,EPSG:25832,700,82.752,89.536,2,multi_slope
DEBY_LOD2_4907198,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,359.7993,3406,9.4664,0.1488,214,1438,0.0000,0.9923,2.9927,2.4460,3.8500,-45.7000,EPSG:25832,700,69.268,88.490,3,multi_slope
DEBY_LOD2_4907199,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,98.3464,1248,12.6898,0.1450,57,393,0.0000,4.9580,7.1580,5.2977,3.7500,-45.7000,EPSG:25832,700,76.064,77.015,1,single_slope
DEBY_LOD2_4907202,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,160.4587,653,4.0696,0.0749,48,641,0.0000,11.1576,14.1170,11.5057,1.1400,-45.7000,EPSG:25832,653,76.339,78.107,1,single_slope
DEBY_LOD2_4908168,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,28.8314,0,0.0000,0.0000,0,114,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_4908178,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,113.4123,227,2.0015,0.0551,25,454,0.0000,12.4374,48.7835,33.9813,60.8500,-45.7000,EPSG:25832,227,0.000,76.227,1,weak_structure
DEBY_LOD2_4908179,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,118.2496,0,0.0000,0.0000,0,474,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_60098,gs_dense_r1,gs_dense,GS dense r1,raw_dense,dense,r1,195.9254,344,1.7558,0.0408,32,784,0.0000,1.0156,4.3865,2.0722,1.9850,-45.7000,EPSG:25832,344,67.790,85.818,4,multi_slope
