building_id,source_group,source_run,display_label,source_role,seed,replicate,pair_raw,source_badge,readout,z_shift_to_reference_m,complexity_lens,size_lens,texture_lens,observation_lens,label_lens,has_lod22,val3dity_valid,status,status_reason,rf_success,rf_pointcloud_unusable,roof_planes,status_rf_roof_planes,ref_roof_planes,match_count,completeness,correctness,mean_match_iou,ref_rms_m,ref_hausdorff_m,ref_distance_samples,rf_rmse_lod22,shell_bucket,ref_rms_tail,ref_rms_tail_fence_m
DEBY_LOD2_108247350,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),true,true,success,success,True,False,1,4,1,0,0.0000,0.0000,,13.3698,13.8415,48,8.714822,조립,false,18.3340
DEBY_LOD2_108247351,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),true,true,success,success,True,False,1,2,1,0,0.0000,0.0000,,10.8289,11.4858,260,9.899546,조립,false,18.3340
DEBY_LOD2_4907184,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,high,high,not_reviewed,high,none,true,true,success,success,True,False,5,23,4,4,1.0000,0.8000,0.9097,2.1372,4.3977,1350,2.825543,조립,false,18.3340
DEBY_LOD2_4907185,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,mid,not_reviewed,high,none,true,true,success,success,True,False,6,16,2,2,1.0000,0.3333,0.5766,1.7903,2.5292,648,3.292623,조립,false,18.3340
DEBY_LOD2_4907186,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,4,10,2,2,1.0000,0.5000,0.7847,2.4179,3.4020,672,1.119312,조립,false,18.3340
DEBY_LOD2_4907188,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,4,8,2,2,1.0000,0.5000,0.7565,1.8306,2.8150,665,1.712911,조립,false,18.3340
DEBY_LOD2_4907194,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,7,11,2,2,1.0000,0.2857,0.4869,1.7648,2.4033,850,1.715577,조립,false,18.3340
DEBY_LOD2_4907195,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,4,13,2,2,1.0000,0.5000,0.8031,2.2543,2.9683,711,1.735999,조립,false,18.3340
DEBY_LOD2_4907198,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,high,high,not_reviewed,mid,none,true,true,success,success,True,False,6,18,4,4,1.0000,0.6667,0.6397,2.1713,2.7839,1440,3.758325,조립,false,18.3340
DEBY_LOD2_4907199,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
