arm,base_coef,ci_high,ci_low,coef,coef_delta_from_base,fit_type,n,note,ordinary_coef,outcome,outcome_kind,predictor,robust_coef,se,sign_flip_vs_base,sign_mismatch,spec,status,variant
raw_acmp,none,0.252564,-0.103317,0.074624,none,huber_rlm,23,none,none,rf_rmse_lod22,continuous,local_plane_rms_m,none,0.090786,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.352757,-0.021755,0.165501,none,huber_rlm,23,none,none,rf_rmse_lod22,continuous,floater_frac,none,0.095539,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.340305,-0.093251,0.123527,none,huber_rlm,23,none,none,rf_rmse_lod22,continuous,label_proxy_frac_all,none,0.110601,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.447966,0.071239,0.259603,none,huber_rlm,23,none,none,rf_rmse_lod22,continuous,median_incidence_deg,none,0.096104,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.681289,0.020708,0.350998,none,huber_rlm,23,none,none,rf_rmse_lod22,continuous,median_pair_angle_deg,none,0.168516,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.140184,-0.343895,-0.101856,none,huber_rlm,23,none,none,rf_rmse_lod22,continuous,n_views_nadir,none,0.123489,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,-0.165994,-1.006688,-0.586341,none,huber_rlm,23,none,none,rf_rmse_lod22,continuous,recon_score_median,none,0.214463,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.622968,-1.340345,-0.358688,none,huber_rlm,26,none,none,rf_roof_planes,continuous,pt_density_m2_reg,none,0.500845,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.597349,-0.385376,0.105986,none,huber_rlm,26,none,none,rf_roof_planes,continuous,coverage_frac_reg,none,0.250695,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.973353,-0.047427,0.462963,none,huber_rlm,26,none,none,rf_roof_planes,continuous,local_plane_rms_m,none,0.260403,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.307435,-0.659583,-0.176074,none,huber_rlm,26,none,none,rf_roof_planes,continuous,floater_frac,none,0.246688,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.398181,-0.392792,0.002694,none,huber_rlm,26,none,none,rf_roof_planes,continuous,label_proxy_frac_all,none,0.201779,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.177904,-0.801546,-0.311821,none,huber_rlm,26,none,none,rf_roof_planes,continuous,median_incidence_deg,none,0.249860,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
